iter	Logloss
0	0.6369106506
1	0.5885948059
2	0.5520382751
3	0.5226375305
4	0.4962860779
5	0.476585376
6	0.4597433838
7	0.4447845886
8	0.4322375854
9	0.4215401978
10	0.4119769928
11	0.4039643219
12	0.396941806
13	0.3908386292
14	0.3854942383
15	0.3807310883
16	0.3765329834
17	0.3729137024
18	0.3697093567
19	0.3668859467
20	0.3643135498
21	0.3620544922
22	0.3600242218
23	0.3582256836
24	0.3565929718
25	0.3551370544
26	0.3538398987
27	0.3526899048
28	0.3516525055
29	0.3507269867
30	0.3498909851
31	0.3491474091
32	0.3484597595
33	0.3478431763
34	0.3473026184
35	0.3468210358
36	0.3463784973
37	0.3459918335
38	0.3456178162
39	0.3453025665
40	0.3449966309
41	0.3447116516
42	0.344497287
43	0.3442806366
44	0.3440767761
45	0.343847406
46	0.3436584747
47	0.3435083191
48	0.3433364532
49	0.3431859467
50	0.3430564087
51	0.3428614471
52	0.3427305939
53	0.342649353
54	0.3425046509
55	0.3423927185
56	0.342294574
57	0.3422117554
58	0.3421267181
59	0.342046521
60	0.3419801941
61	0.3418885864
62	0.341797583
63	0.3417132782
64	0.341601593
65	0.3415556519
66	0.3414537903
67	0.3413825287
68	0.3413263275
69	0.3412567108
70	0.341174762
71	0.3411231598
72	0.3410456573
73	0.3409912445
74	0.3409202454
75	0.3408587646
76	0.3407921631
77	0.3407305481
78	0.3406828949
79	0.3406529907
80	0.3406192291
81	0.340550708
82	0.340492038
83	0.3404318573
84	0.3403797668
85	0.3403184875
86	0.3402544739
87	0.3401878723
88	0.3401415253
89	0.3400909058
90	0.3400349701
91	0.3399861725
92	0.3399231537
93	0.339894397
94	0.3398380676
95	0.339807309
96	0.3397388733
97	0.3396880737
98	0.33963255
99	0.3395788422
100	0.3395411957
101	0.3394842957
102	0.339424353
103	0.3393563843
104	0.339292041
105	0.3392200653
106	0.3391763428
107	0.3391287018
108	0.3390912415
109	0.3390486145
110	0.3389907501
111	0.3389367981
112	0.3388568634
113	0.3388219666
114	0.3387654907
115	0.3387021057
116	0.3386676453
117	0.3386184998
118	0.3385723236
119	0.3385200897
120	0.3384672394
121	0.3384317596
122	0.3383780273
123	0.3383484528
124	0.3383265137
125	0.3382570129
126	0.338208667
127	0.3381467987
128	0.3380852295
129	0.3380420532
130	0.3379981628
131	0.3379523315
132	0.3378845673
133	0.3378282867
134	0.3377693451
135	0.3377255371
136	0.3376756775
137	0.3376324707
138	0.3375564117
139	0.3375211243
140	0.3374840973
141	0.3374346069
142	0.3373945099
143	0.3373477386
144	0.3373054535
145	0.337262674
146	0.3372085541
147	0.3371547211
148	0.3371000885
149	0.337053714
150	0.3369937866
151	0.3369543365
152	0.3369126343
153	0.3368571106
154	0.3368026489
155	0.3367515411
156	0.3366993927
157	0.3366396515
158	0.3365881897
159	0.3365473206
160	0.3365003906
161	0.3364374268
162	0.3363816528
163	0.3363280731
164	0.3363100006
165	0.3362743225
166	0.3362370087
167	0.3362108826
168	0.3361417328
169	0.3360894806
170	0.3360459473
171	0.3360041962
172	0.33593573
173	0.3358884979
174	0.3358207611
175	0.3357690765
176	0.3357410675
177	0.3356681519
178	0.3356401794
179	0.3355604004
180	0.3355134308
181	0.3354646881
182	0.3353791718
183	0.3353117126
