iter	Passed	Remaining
0	29	28989
1	54	27158
2	79	26477
3	104	26014
4	131	26086
5	162	26838
6	190	26971
7	214	26634
8	241	26632
9	270	26769
10	295	26593
11	323	26651
12	351	26722
13	381	26841
14	408	26825
15	434	26733
16	462	26718
17	490	26758
18	515	26641
19	543	26651
20	573	26734
21	600	26686
22	628	26700
23	657	26730
24	682	26621
25	712	26693
26	735	26510
27	757	26307
28	780	26129
29	805	26053
30	827	25875
31	850	25727
32	875	25641
33	900	25571
34	926	25538
35	949	25427
36	982	25562
37	998	25272
38	1021	25171
39	1046	25110
40	1073	25104
41	1097	25029
42	1110	24719
43	1131	24585
44	1153	24475
45	1177	24418
46	1203	24404
47	1228	24373
48	1252	24308
49	1273	24198
50	1298	24162
51	1321	24084
52	1346	24052
53	1369	23996
54	1394	23959
55	1418	23904
56	1443	23873
57	1466	23824
58	1490	23774
59	1513	23717
60	1536	23649
61	1558	23583
62	1584	23566
63	1608	23525
64	1632	23489
65	1673	23679
66	1702	23704
67	1732	23742
68	1760	23754
69	1788	23763
70	1816	23771
71	1842	23743
72	1867	23713
73	1894	23705
74	1919	23670
75	1943	23627
76	1967	23578
77	1990	23527
78	2014	23480
79	2036	23417
80	2058	23353
81	2082	23310
82	2107	23288
83	2135	23290
84	2159	23248
85	2181	23185
86	2204	23138
87	2233	23146
88	2256	23100
89	2283	23088
90	2304	23015
91	2327	22973
92	2352	22941
93	2375	22896
94	2402	22885
95	2426	22848
96	2453	22842
97	2477	22806
98	2503	22780
99	2525	22728
100	2548	22680
101	2570	22629
102	2593	22586
103	2617	22553
104	2641	22515
105	2666	22485
106	2688	22441
107	2712	22405
108	2735	22357
109	2760	22334
110	2785	22305
111	2807	22260
112	2831	22228
113	2856	22200
114	2879	22156
115	2905	22138
116	2933	22142
117	2959	22121
118	2986	22108
119	3012	22089
120	3041	22091
121	3067	22072
122	3094	22065
123	3116	22019
124	3137	21962
125	3164	21952
126	3188	21915
127	3214	21898
128	3239	21872
129	3263	21843
130	3289	21822
131	3315	21801
132	3338	21765
133	3363	21736
134	3387	21702
135	3411	21670
136	3434	21631
137	3456	21589
138	3479	21553
139	3503	21523
140	3526	21483
141	3547	21437
142	3571	21404
143	3594	21366
144	3621	21352
145	3641	21303
146	3668	21285
147	3692	21258
148	3717	21234
149	3740	21195
150	3767	21182
151	3790	21144
152	3814	21115
153	3836	21074
154	3855	21016
155	3878	20984
156	3902	20951
157	3926	20923
158	3950	20896
159	3975	20873
160	3999	20842
161	4025	20825
162	4048	20786
163	4073	20765
164	4095	20723
165	4121	20705
166	4146	20680
167	4173	20670
168	4201	20660
169	4229	20649
170	4256	20633
171	4280	20606
172	4304	20576
173	4328	20546
174	4352	20518
175	4375	20487
176	4400	20459
177	4424	20432
178	4446	20395
179	4471	20371
180	4495	20341
181	4518	20309
182	4543	20283
183	4569	20264
184	4594	20241
185	4620	20219
186	4646	20199
187	4669	20166
188	4692	20134
189	4716	20108
190	4741	20081
191	4769	20069
192	4794	20045
193	4818	20020
194	4844	20000
195	4867	19967
196	4891	19938
197	4914	19905
198	4938	19876
199	4963	19853
200	4987	19826
201	5011	19798
202	5034	19764
203	5055	19726
204	5080	19703
205	5106	19681
206	5127	19644
207	5149	19607
208	5173	19579
209	5198	19555
210	5220	19521
211	5244	19493
212	5267	19463
213	5293	19443
214	5321	19430
215	5349	19417
216	5380	19413
217	5405	19389
218	5432	19374
219	5459	19354
220	5482	19325
221	5505	19293
222	5529	19264
223	5551	19231
224	5574	19200
225	5597	19168
226	5619	19137
227	5643	19108
228	5666	19079
229	5687	19039
230	5710	19009
231	5733	18979
232	5756	18950
233	5779	18920
234	5804	18894
235	5830	18874
236	5856	18853
237	5879	18824
238	5904	18800
239	5930	18778
240	5956	18759
241	5981	18734
242	6005	18707
243	6027	18674
244	6049	18643
245	6074	18617
246	6096	18585
247	6120	18558
